['salt', 896]
['peber', 619]
['smør', 291]
['løg', 280]
['hvidløg', 264]
['vand', 229]
['olivenolie', 189]
['hvedemel', 184]
['olie', 175]
['æg', 140]
['sukker', 136]
['piskefløde', 110]
['gulerødder', 109]
['timian', 93]
['kartofler', 91]
['persille', 81]
['bouillon', 71]
['hvidvin', 70]
['hakket persille', 67]
['margarine', 67]
['tomater', 63]
['citronsaft', 56]
['rødvin', 52]
['friskkværnet peber', 50]
['skalotteløg', 49]
['laurbærblade', 49]
['rasp', 46]
['rosmarin', 46]
['porre', 46]
['laurbærblad', 42]
['fløde', 41]
['gulerod', 39]
['dijonsennep', 39]
['lammebouillon', 38]
['citron', 38]
['groftkværnet peber', 38]
['fårefars', 36]
['karry', 35]
['presset hvidløg', 34]
['groft salt', 33]
['lammebov', 33]
['sødmælk', 32]
['eddike', 30]
['paprika', 30]
['champignon', 28]
['rødløg', 26]
['mælk', 26]
['peberfrugt', 26]
['honning', 26]
['majsstivelse', 26]
['peberkorn', 26]
['gær', 25]
['maizena', 25]
['forårsløg', 25]
['porrer', 25]
['flåede tomater', 25]
['hønsebouillon', 23]
['tør hvidvin', 22]
['champignoner', 22]
['lammesmåkød', 21]
['lammekølle', 21]
['knoldselleri', 21]
['persille, frisk', 20]
['hakket løg', 20]
['knust hvidløg', 20]
['squash', 19]
['flormelis', 19]
['hakket hvidløg', 19]
['smør eller margarine', 19]
['brun farin', 19]
['hakket lammekød', 18]
['tomatpuré', 18]
['nelliker', 18]
['lammekoteletter', 18]
['nakkefilet', 17]
['selleri', 17]
['soyasauce', 17]
['creme fraiche', 17]
['maizena majsstivelse', 17]
['aubergine', 17]
['bacon', 17]
['hvidvinseddike', 16]
['dild', 16]
['yoghurt naturel', 16]
['ris', 16]
['cherrytomater', 15]
['vineddike', 15]
['æggeblomme', 15]
['basilikum', 15]
['bagekartofler', 14]
['skummetmælk', 14]
['tomatpure. koncentreret', 14]
['soya', 14]
['rød peberfrugt', 14]
['finthakket løg', 14]
['hvidkål', 14]
['kanin', 13]
['svinebouillon', 13]
['enebær', 13]
['broccoli', 13]
['lammebryst', 13]
['olie til stegning', 13]
['kulør', 13]
['sort peber', 13]
['mayonnaise', 12]
['rørsukker', 12]
['frisk timian', 12]
['oregano', 12]
['spidskommen', 12]
['lammekød', 11]
['æggeblommer', 11]
['appelsinsaft', 11]
['persillerod', 11]
['portvin', 11]
['hakkede tomater, konserves', 11]
['kinesisk soya', 11]
['cayennepeber', 11]
['allehånde', 11]
['citron saft heraf', 11]
['merian', 11]
['majroer', 11]
['bladselleri', 10]
['dijon sennep', 10]
['lammekød i tern', 10]
['æggehvide', 10]
['nye kartofler', 10]
['dobbelte lammekoteletter', 10]
['frisk spinat', 10]
['lammekølle med ben', 10]
['kanel', 10]
['oksebouillon', 10]
['ribsgele', 10]
['bacon i skiver', 10]
['tomatpure', 10]
['agurk', 10]
['grøn peberfrugt', 10]
['stødt kanel', 10]
['stødt ingefær', 10]
['lammebov med ben', 10]
['timian, frisk', 10]
['svinekam uden svær', 9]
['fishsauce', 9]
['vanillesukker', 9]
['chili', 9]
['safran', 9]
['smør til stegning', 9]
['kogende vand', 9]
['sesamfrø', 9]
['gurkemeje', 9]
['tørret timian', 9]
['kapers', 9]
['hvid peber', 9]
['ærter', 9]
['garam masala', 9]
['æbler', 9]
['små kartofler', 9]
['pastinak', 9]
['tørret oregano', 9]
['rosiner', 9]
['salvie', 9]
['salt og peber', 9]
['hamburgerryg', 8]
['svinemørbrad, afpudset', 8]
['sorte peberkorn', 8]
['sukkerærter', 8]
['bouillonterning', 8]
['æggehvider', 8]
['kardemomme, stødt', 8]
['cognac', 8]
['timian, tørret', 8]
['udbenet lammekølle', 8]
['oregano, tørret', 8]
['lammekød, hakket', 8]
['koriander', 8]
['margarine til stegning', 8]
['grøntsagsbouillon', 8]
['finthakket hvidløg', 8]
['fiskebouillon', 7]
['tomatkoncentrat', 7]
['sennep', 7]
['hakkede løg', 7]
['purløg', 7]
['maizenamel', 7]
['pinjekerner', 7]
['sesamolie', 7]
['kakao', 7]
['kokosmel', 7]
['ingefær, stødt', 7]
['rødvinseddike', 7]
['rosmarin, frisk', 7]
['citron, saften heraf', 7]
['stødt koriander', 7]
['bagepulver', 7]
['finthakket persille', 7]
['tørret mynte', 7]
['dild, frisk', 7]
['korianderfrø', 7]
['nakkefilet. helt afpudset', 6]
['svinekam uden spæk', 6]
['revelsben', 6]
['spareribs', 6]
['svinekoteletter', 6]
['svinekød, hakket ca. 10 % fedt', 6]
['hvidvin. tør', 6]
['tomat', 6]
['muskatnød', 6]
['hvidløg, knust', 6]
['rosenkål', 6]
['havsalt', 6]
['tørret basilikum', 6]
['suppe', 6]
['limesaft', 6]
['balsamico', 6]
['bønnespirer', 6]
['aspargeskartofler', 6]
['æggehvide, pasteuriseret', 6]
['ren rå marcipan', 6]
['strudsefilet', 6]
['rødbeder', 6]
['vanillestang', 6]
['tør sherry', 6]
['mellemstore kartofler', 6]
['creme fraiche 38%', 6]
['koldt smør', 6]
['husblas', 6]
['mangochutney', 6]
['jordskokker', 6]
['estragon', 6]
['dobbelt lammeryg', 6]
['ingefær', 6]
['appelsiner', 6]
['grønsagsbouillon', 6]
['sojasauce', 6]
['peberfrugter', 6]
['muskat', 6]
['majsmel', 6]
['reven citronskal', 6]
['sorte oliven', 6]
['revet citronskal', 6]
['smeltet smør', 6]
['bouillon eller vand', 6]
['frosne ærter', 6]
['svinemørbrad', 5]
['vegetabilsk olie', 5]
['oksefars', 5]
['pastinakker', 5]
['soja sauce', 5]
['citronsaft. friskpresset', 5]
['julesalat', 5]
['bredbladet persille', 5]
['frisk rosmarin', 5]
['kokosmælk', 5]
['olivenolie til stegning', 5]
['fennikel', 5]
['blegselleri', 5]
['tørrede abrikoser', 5]
['lammeculotte', 5]
['skrællede kartofler', 5]
['sherry', 5]
['hakket basilikum', 5]
['bacon i tern', 5]
['letmælk', 5]
['salatblade', 5]
['friskhakket persille', 5]
['farin', 5]
['torskefilet uden skind', 5]
['creme fraiche 18%', 5]
['hjortetaksalt', 5]
['frisk ingefær', 5]
['yoghurt', 5]
['hakkede flåede tomater', 5]
['suppevisk', 5]
['smør til bruning', 5]
['fløde 13%', 5]
['koncentreret tomatpure', 5]
['lammeryg', 5]
['smuttede mandler', 5]
['flydende honning', 5]
['lammekølle u nøgleben', 5]
['grønne peberfrugter', 5]
['grøn peber', 5]
['salathoved', 5]
['hakket skalotteløg', 5]
['revet løg', 5]
['friskkværnet sort peber', 5]
['stegesky', 5]
['syrlige æbler', 5]
['fetaost', 5]
['peberkorn, sorte', 5]
['citron usprøjtet', 4]
['jomfruolivenolie', 4]
['mørk chokolade 44%', 4]
['grønne ærter', 4]
['kærnemælk', 4]
['hakket svinekød', 4]
['konc. tomatpuré', 4]
['æbleeddike', 4]
['basilikum, tørret', 4]
['oksekød, hakket ca. 16% fedt', 4]
['oksetværreb', 4]
['skært oksekød', 4]
['frisk basilikum', 4]
['fennikelfrø', 4]
['salvie frisk', 4]
