['salt', 791]
['peber', 475]
['smør', 301]
['løg', 222]
['hvedemel', 205]
['vand', 198]
['hvidløg', 195]
['olivenolie', 179]
['sukker', 163]
['olie', 159]
['æg', 129]
['piskefløde', 104]
['citronsaft', 75]
['gulerødder', 74]
['bouillon', 69]
['fløde', 64]
['persille', 62]
['tomater', 60]
['friskkværnet peber', 57]
['timian', 55]
['kartofler', 43]
['hvidvin', 43]
['laurbærblad', 43]
['mælk', 42]
['rødvin', 41]
['gulerod', 37]
['laurbærblade', 36]
['kulør', 36]
['skalotteløg', 35]
['groft salt', 35]
['porre', 34]
['rasp', 34]
['rød peberfrugt', 33]
['rosmarin', 31]
['citron', 31]
['paprika', 30]
['hønsebouillon', 29]
['champignon', 29]
['maizena', 27]
['hakket persille', 27]
['karry', 27]
['knust hvidløg', 25]
['shaoxingvin eller mellemtør sherry', 24]
['forårsløg', 24]
['porrer', 24]
['eddike', 23]
['ris', 22]
['tør hvidvin', 22]
['yoghurt naturel', 22]
['æggeblommer', 21]
['margarine', 21]
['kartoffelmel', 20]
['flormelis', 20]
['hvidvinseddike', 19]
['grøn peberfrugt', 19]
['vineddike', 19]
['oregano', 19]
['enebær', 19]
['honning', 19]
['sødmælk', 19]
['tomatpure', 19]
['soyasauce', 18]
['hakket lammekød', 18]
['peber, friskkværnet', 17]
['sesamolie', 17]
['sennep', 17]
['maizenamel', 17]
['knoldselleri', 17]
['bagepulver', 16]
['æggehvider', 16]
['selleri', 16]
['champignoner', 16]
['rosiner', 16]
['creme fraiche', 16]
['æbler', 16]
['soya sauce', 15]
['soya', 15]
['flåede tomater', 15]
['lammekølle', 15]
['hvid peber', 15]
['sorte peberkorn', 15]
['nelliker', 14]
['lasagneplader', 14]
['kokosmælk', 14]
['stødt ingefær', 14]
['peberkorn', 14]
['cognac', 14]
['ribsgele', 14]
['hakket løg', 13]
['vanillesukker', 13]
['hakket oksekød', 13]
['gråænder', 13]
['æggeblomme', 13]
['bagekartofler', 13]
['tomatpuré', 13]
['portvin', 13]
['røget spæk', 13]
['majsstivelse', 13]
['tyk soyasauce', 12]
['persille, frisk', 12]
['cayennepeber', 12]
['gurkemeje', 12]
['appelsiner', 12]
['tør sherry', 12]
['fiskebouillon', 11]
['aubergine', 11]
['dijonsennep', 11]
['tørret timian', 11]
['kanel', 11]
['gær', 11]
['purløg', 11]
['agurk', 11]
['rødløg', 11]
['bønnespirer', 10]
['stødt spidskommen', 10]
['hakket hvidløg', 10]
['dild', 10]
['kinakål', 10]
['presset hvidløg', 10]
['vindruekerneolie', 10]
['friskkværnet sort peber', 10]
['olie til stegning', 10]
['ribsgelé', 10]
['hvidløg, pillet og hakket fint', 9]
['sukkerærter', 9]
['majsmel', 9]
['merian', 9]
['sojasauce', 9]
['mild paprika', 9]
['oregano, tørret', 9]
['lammekoteletter', 9]
['stødt kanel', 9]
['kapers', 9]
['muskatnød', 9]
['sort peber', 9]
['peberfrugt', 9]
['sherry', 9]
['sennepspulver', 8]
['kogende vand', 8]
['koldt vand', 8]
['sojamælk', 8]
['stjerneanis', 8]
['chili', 8]
['dild, frisk', 8]
['citrongræs', 8]
['mandler', 8]
['hakkede tomater', 8]
['gul peberfrugt', 8]
['spidskommen', 8]
['mayonnaise', 8]
['majsolie', 8]
['basilikum', 8]
['hvidløg, presset', 8]
['butterdej', 8]
['kaffefløde', 8]
['balsamico eddike', 8]
['lammebov', 8]
['appelsinsaft', 8]
['brun farin', 8]
['limesaft', 8]
['balsamicoeddike', 7]
['kinesisk soya', 7]
['hvide peberkorn', 7]
['peber fra kværn', 7]
['courgetter', 7]
['salatblade', 7]
['safran', 7]
['hårdkogte æg', 7]
['grøntsagsbouillon', 7]
['reven ost', 7]
['revet muskatnød', 7]
['stødt gurkemeje', 7]
['flåede tomater, konserves', 7]
['koriander', 7]
['rødbeder', 7]
['røde peberfrugter', 7]
['østershatte', 7]
['broccoli', 7]
['rødvinseddike', 7]
['bananer', 7]
['lime', 7]
['tørret rosmarin', 7]
['maizena majsstivelse', 7]
['appelsin', 7]
['bredbladet persille', 7]
['tomat', 7]
['klippet persille', 6]
['vildænder', 6]
['lammelever', 6]
['peber friskkværnet', 6]
['finthakket hvidløg', 6]
['klar suppe', 6]
['rejer', 6]
['vegetabilsk olie', 6]
['pinjekerner', 6]
['finthakket løg', 6]
['grahamsmel', 6]
['æggehvide', 6]
['tabasco', 6]
['olivenolie til stegning', 6]
['stødt kommen', 6]
['mørbrad', 6]
['smør eller margarine', 6]
['svinemørbrad, afpudset', 6]
['citronsaft. friskpresset', 6]
['mellemskært oksekød', 6]
['chilipulver', 6]
['frisk timian', 6]
['tofu', 6]
['creme fraiche 18%', 6]
['peber. hvid', 6]
['hvidkål', 6]
['tomatpure. koncentreret', 6]
['yoghurt', 6]
['tørret oregano', 6]
['letmælk', 6]
['saften af 1 citron', 6]
['grønsagsbouillon', 6]
['soja', 6]
['tyttebærsyltetøj', 6]
['finthakkede løg', 6]
['ketchup', 6]
['perleløg', 5]
['balsamico', 5]
['citron saft heraf', 5]
['havsalt', 5]
['lidt salt', 5]
